,subNum,cong,rt,Exp
160,1,0,0,Forti_Humphreys_0
161,1,0,0,Forti_Humphreys_1
162,1,0,0,Forti_Humphreys_0
163,1,1,0,Forti_Humphreys_1
164,1,0,0,Forti_Humphreys_1
165,1,1,0,Forti_Humphreys_1
166,1,1,0,Forti_Humphreys_1
167,1,1,1,Forti_Humphreys_0
168,1,1,1,Forti_Humphreys_1
169,1,0,0,Forti_Humphreys_1
170,1,1,0,Forti_Humphreys_0
171,1,0,1,Forti_Humphreys_0
172,1,0,1,Forti_Humphreys_1
173,1,1,0,Forti_Humphreys_0
174,1,0,0,Forti_Humphreys_1
175,1,0,1,Forti_Humphreys_0
176,1,0,0,Forti_Humphreys_1
177,1,1,1,Forti_Humphreys_1
178,1,1,0,Forti_Humphreys_1
179,1,0,1,Forti_Humphreys_0
180,1,1,0,Forti_Humphreys_1
181,1,0,1,Forti_Humphreys_1
182,1,0,1,Forti_Humphreys_0
183,1,0,0,Forti_Humphreys_0
184,1,1,0,Forti_Humphreys_1
185,1,1,0,Forti_Humphreys_0
186,1,1,0,Forti_Humphreys_0
187,1,1,1,Forti_Humphreys_1
188,1,0,1,Forti_Humphreys_0
189,1,1,1,Forti_Humphreys_0
190,1,1,1,Forti_Humphreys_0
191,1,0,0,Forti_Humphreys_1
192,1,1,0,Forti_Humphreys_1
193,1,0,0,Forti_Humphreys_1
194,1,0,0,Forti_Humphreys_0
195,1,0,0,Forti_Humphreys_1
196,1,1,0,Forti_Humphreys_0
197,1,0,0,Forti_Humphreys_1
198,1,0,0,Forti_Humphreys_1
199,1,1,1,Forti_Humphreys_1
200,1,0,0,Forti_Humphreys_1
201,1,0,0,Forti_Humphreys_0
202,1,0,0,Forti_Humphreys_0
203,1,0,0,Forti_Humphreys_0
204,1,1,0,Forti_Humphreys_0
205,1,0,0,Forti_Humphreys_1
206,1,0,0,Forti_Humphreys_1
207,1,1,1,Forti_Humphreys_0
208,1,1,1,Forti_Humphreys_1
209,1,1,0,Forti_Humphreys_0
210,1,1,0,Forti_Humphreys_1
211,1,1,1,Forti_Humphreys_0
212,1,0,0,Forti_Humphreys_1
