,subNum,cong,rt,Exp
145,9,Related,1653,Janssen_colleagues
146,9,Related,2125,Janssen_colleagues
147,9,Related,1437,Janssen_colleagues
148,9,Related,1145,Janssen_colleagues
149,9,Related,1197,Janssen_colleagues
150,9,Related,1497,Janssen_colleagues
151,9,Related,1261,Janssen_colleagues
152,9,Related,1341,Janssen_colleagues
153,9,Related,2168,Janssen_colleagues
154,9,Related,1312,Janssen_colleagues
155,9,Related,1196,Janssen_colleagues
156,9,Related,2348,Janssen_colleagues
157,9,Related,1338,Janssen_colleagues
158,9,Related,1866,Janssen_colleagues
159,9,Related,1844,Janssen_colleagues
160,9,Related,2077,Janssen_colleagues
161,10,Related,551,Janssen_colleagues
162,10,Related,759,Janssen_colleagues
163,10,Related,829,Janssen_colleagues
164,10,Related,673,Janssen_colleagues
165,10,Related,610,Janssen_colleagues
166,10,Related,818,Janssen_colleagues
167,10,Related,882,Janssen_colleagues
168,10,Related,705,Janssen_colleagues
169,10,Related,723,Janssen_colleagues
170,10,Related,676,Janssen_colleagues
171,10,Related,719,Janssen_colleagues
172,10,Related,683,Janssen_colleagues
173,10,Related,614,Janssen_colleagues
174,10,Related,663,Janssen_colleagues
175,10,Related,974,Janssen_colleagues
176,10,Related,551,Janssen_colleagues
177,10,Related,814,Janssen_colleagues
178,10,Related,743,Janssen_colleagues
179,10,Related,783,Janssen_colleagues
180,10,Related,823,Janssen_colleagues
181,11,Related,431,Janssen_colleagues
182,11,Related,564,Janssen_colleagues
183,11,Related,631,Janssen_colleagues
184,11,Related,649,Janssen_colleagues
185,11,Related,626,Janssen_colleagues
186,11,Related,552,Janssen_colleagues
187,11,Related,647,Janssen_colleagues
188,11,Related,572,Janssen_colleagues
189,11,Related,582,Janssen_colleagues
190,11,Related,604,Janssen_colleagues
191,11,Related,480,Janssen_colleagues
192,11,Related,359,Janssen_colleagues
193,11,Related,397,Janssen_colleagues
194,11,Related,566,Janssen_colleagues
195,11,Related,701,Janssen_colleagues
196,11,Related,555,Janssen_colleagues
197,11,Related,549,Janssen_colleagues
198,11,Related,358,Janssen_colleagues
199,11,Related,525,Janssen_colleagues
200,11,Related,548,Janssen_colleagues
201,12,Related,402,Janssen_colleagues
202,12,Related,446,Janssen_colleagues
203,12,Related,352,Janssen_colleagues
204,12,Related,427,Janssen_colleagues
205,12,Related,407,Janssen_colleagues
206,12,Related,495,Janssen_colleagues
207,12,Related,332,Janssen_colleagues
208,12,Related,365,Janssen_colleagues
209,12,Related,553,Janssen_colleagues
210,12,Related,337,Janssen_colleagues
211,12,Related,514,Janssen_colleagues
212,12,Related,427,Janssen_colleagues
213,12,Related,347,Janssen_colleagues
214,12,Related,456,Janssen_colleagues
215,12,Related,322,Janssen_colleagues
216,12,Related,440,Janssen_colleagues
217,12,Related,386,Janssen_colleagues
218,12,Related,512,Janssen_colleagues
219,12,Related,384,Janssen_colleagues
220,12,Related,388,Janssen_colleagues
221,13,Related,779,Janssen_colleagues
222,13,Related,556,Janssen_colleagues
223,13,Related,644,Janssen_colleagues
224,13,Related,629,Janssen_colleagues
225,13,Related,828,Janssen_colleagues
226,13,Related,752,Janssen_colleagues
227,13,Related,573,Janssen_colleagues
228,13,Related,474,Janssen_colleagues
229,13,Related,757,Janssen_colleagues
230,13,Related,783,Janssen_colleagues
231,13,Related,669,Janssen_colleagues
232,13,Related,588,Janssen_colleagues
233,13,Related,662,Janssen_colleagues
234,13,Related,711,Janssen_colleagues
235,13,Related,676,Janssen_colleagues
236,13,Related,683,Janssen_colleagues
237,13,Related,663,Janssen_colleagues
238,13,Related,675,Janssen_colleagues
239,13,Related,507,Janssen_colleagues
240,13,Related,524,Janssen_colleagues
241,14,Related,617,Janssen_colleagues
242,14,Related,1115,Janssen_colleagues
243,14,Related,589,Janssen_colleagues
244,14,Related,628,Janssen_colleagues
245,14,Related,482,Janssen_colleagues
246,14,Related,865,Janssen_colleagues
247,14,Related,477,Janssen_colleagues
248,14,Related,642,Janssen_colleagues
249,14,Related,602,Janssen_colleagues
250,14,Related,790,Janssen_colleagues
251,14,Related,519,Janssen_colleagues
252,14,Related,612,Janssen_colleagues
253,14,Related,607,Janssen_colleagues
254,14,Related,666,Janssen_colleagues
255,14,Related,1048,Janssen_colleagues
256,14,Related,951,Janssen_colleagues
257,14,Related,578,Janssen_colleagues
258,14,Related,792,Janssen_colleagues
259,14,Related,1216,Janssen_colleagues
260,14,Related,672,Janssen_colleagues
261,15,Related,583,Janssen_colleagues
262,15,Related,612,Janssen_colleagues
263,15,Related,624,Janssen_colleagues
264,15,Related,992,Janssen_colleagues
265,15,Related,786,Janssen_colleagues
266,15,Related,659,Janssen_colleagues
267,15,Related,770,Janssen_colleagues
268,15,Related,967,Janssen_colleagues
269,15,Related,713,Janssen_colleagues
270,15,Related,728,Janssen_colleagues
271,15,Related,460,Janssen_colleagues
272,15,Related,616,Janssen_colleagues
273,15,Related,711,Janssen_colleagues
274,15,Related,616,Janssen_colleagues
275,15,Related,683,Janssen_colleagues
276,15,Related,725,Janssen_colleagues
277,15,Related,650,Janssen_colleagues
278,15,Related,1056,Janssen_colleagues
279,15,Related,967,Janssen_colleagues
280,15,Related,655,Janssen_colleagues
281,16,Related,577,Janssen_colleagues
282,16,Related,493,Janssen_colleagues
283,16,Related,618,Janssen_colleagues
284,16,Related,478,Janssen_colleagues
285,16,Related,506,Janssen_colleagues
286,16,Related,586,Janssen_colleagues
287,16,Related,580,Janssen_colleagues
288,16,Related,501,Janssen_colleagues
289,16,Related,555,Janssen_colleagues
290,16,Related,407,Janssen_colleagues
291,16,Related,513,Janssen_colleagues
292,16,Related,405,Janssen_colleagues
293,16,Related,498,Janssen_colleagues
294,16,Related,674,Janssen_colleagues
295,16,Related,642,Janssen_colleagues
296,16,Related,38,Janssen_colleagues
297,16,Related,453,Janssen_colleagues
298,16,Related,573,Janssen_colleagues
299,16,Related,532,Janssen_colleagues
300,16,Related,923,Janssen_colleagues
301,17,Related,743,Janssen_colleagues
302,17,Related,779,Janssen_colleagues
303,17,Related,791,Janssen_colleagues
304,17,Related,989,Janssen_colleagues
305,17,Related,814,Janssen_colleagues
306,17,Related,1009,Janssen_colleagues
307,17,Related,836,Janssen_colleagues
308,17,Related,535,Janssen_colleagues
309,17,Related,572,Janssen_colleagues
310,17,Related,1172,Janssen_colleagues
311,17,Related,1134,Janssen_colleagues
312,17,Related,1238,Janssen_colleagues
313,17,Related,810,Janssen_colleagues
314,17,Related,720,Janssen_colleagues
315,17,Related,1120,Janssen_colleagues
316,17,Related,731,Janssen_colleagues
317,17,Related,1371,Janssen_colleagues
318,17,Related,827,Janssen_colleagues
319,17,Related,1063,Janssen_colleagues
320,17,Related,1058,Janssen_colleagues
321,18,Related,937,Janssen_colleagues
322,18,Related,618,Janssen_colleagues
323,18,Related,457,Janssen_colleagues
324,18,Related,654,Janssen_colleagues
325,18,Related,466,Janssen_colleagues
326,18,Related,618,Janssen_colleagues
327,18,Related,722,Janssen_colleagues
328,18,Related,774,Janssen_colleagues
329,18,Related,61,Janssen_colleagues
330,18,Related,566,Janssen_colleagues
331,18,Related,614,Janssen_colleagues
332,18,Related,590,Janssen_colleagues
333,18,Related,614,Janssen_colleagues
334,18,Related,986,Janssen_colleagues
335,18,Related,717,Janssen_colleagues
336,18,Related,745,Janssen_colleagues
337,18,Related,725,Janssen_colleagues
338,18,Related,612,Janssen_colleagues
339,18,Related,585,Janssen_colleagues
340,18,Related,587,Janssen_colleagues
341,19,Related,1034,Janssen_colleagues
342,19,Related,1017,Janssen_colleagues
343,19,Related,1631,Janssen_colleagues
344,19,Related,1633,Janssen_colleagues
345,19,Related,2388,Janssen_colleagues
346,19,Related,1485,Janssen_colleagues
347,19,Related,1192,Janssen_colleagues
348,19,Related,1206,Janssen_colleagues
349,19,Related,1097,Janssen_colleagues
350,19,Related,1096,Janssen_colleagues
351,19,Related,801,Janssen_colleagues
352,19,Related,1496,Janssen_colleagues
353,19,Related,936,Janssen_colleagues
354,19,Related,862,Janssen_colleagues
355,19,Related,1904,Janssen_colleagues
356,19,Related,2109,Janssen_colleagues
357,19,Related,875,Janssen_colleagues
358,19,Related,1115,Janssen_colleagues
359,19,Related,1638,Janssen_colleagues
360,19,Related,1567,Janssen_colleagues
361,20,Related,502,Janssen_colleagues
362,20,Related,666,Janssen_colleagues
363,20,Related,1039,Janssen_colleagues
364,20,Related,888,Janssen_colleagues
365,20,Related,439,Janssen_colleagues
366,20,Related,1042,Janssen_colleagues
367,20,Related,1015,Janssen_colleagues
368,20,Related,620,Janssen_colleagues
369,20,Related,638,Janssen_colleagues
370,20,Related,1030,Janssen_colleagues
371,20,Related,585,Janssen_colleagues
372,20,Related,817,Janssen_colleagues
373,20,Related,394,Janssen_colleagues
374,20,Related,758,Janssen_colleagues
375,20,Related,581,Janssen_colleagues
376,20,Related,808,Janssen_colleagues
377,20,Related,481,Janssen_colleagues
378,20,Related,1156,Janssen_colleagues
379,20,Related,458,Janssen_colleagues
380,20,Related,515,Janssen_colleagues
381,21,Related,1093,Janssen_colleagues
382,21,Related,985,Janssen_colleagues
383,21,Related,856,Janssen_colleagues
384,21,Related,853,Janssen_colleagues
385,21,Related,1456,Janssen_colleagues
386,21,Related,1219,Janssen_colleagues
387,21,Related,658,Janssen_colleagues
388,21,Related,1068,Janssen_colleagues
389,21,Related,1146,Janssen_colleagues
390,21,Related,1086,Janssen_colleagues
391,21,Related,953,Janssen_colleagues
392,21,Related,714,Janssen_colleagues
393,21,Related,1049,Janssen_colleagues
394,21,Related,1134,Janssen_colleagues
395,21,Related,1182,Janssen_colleagues
396,21,Related,754,Janssen_colleagues
397,21,Related,-400,Janssen_colleagues
398,21,Related,1625,Janssen_colleagues
399,21,Related,1034,Janssen_colleagues
400,21,Related,1182,Janssen_colleagues
401,22,Related,651,Janssen_colleagues
402,22,Related,716,Janssen_colleagues
403,22,Related,759,Janssen_colleagues
404,22,Related,530,Janssen_colleagues
405,22,Related,623,Janssen_colleagues
406,22,Related,1419,Janssen_colleagues
407,22,Related,621,Janssen_colleagues
408,22,Related,658,Janssen_colleagues
409,22,Related,722,Janssen_colleagues
410,22,Related,562,Janssen_colleagues
411,22,Related,612,Janssen_colleagues
412,22,Related,609,Janssen_colleagues
413,22,Related,480,Janssen_colleagues
414,22,Related,483,Janssen_colleagues
415,22,Related,550,Janssen_colleagues
416,22,Related,561,Janssen_colleagues
417,22,Related,615,Janssen_colleagues
